en;nl;fr;de;sv;pl;no
Leaving this page may cause you to lose your configuration. Are you sure you want to leave this page?;Het verlaten van deze pagina kan leiden tot verlies van je configuratie. Weet je zeker dat je de pagina wilt verlaten?;En quittant cette page, vous risquez de perdre votre configuration. Vous êtes sûr de vouloir quitter la page ?;Wenn Sie diese Seite verlassen, könnte Ihre Konfiguration verloren gehen. Möchten Sie die Seite wirklich verlassen?;Om du lämnar den här sidan kan du förlora din konfiguration. Är du säker på att du vill lämna den här sidan?;;Hvis du forlater denne siden, kan det føre til at du mister konfigurasjonen. Er du sikker på at du vil forlate denne siden? 
Invalid email;Verkeerd emailadres;Adresse électronique erronée;Ungültige E-Mailadresse;Felaktigt e-postmeddelande;Nieprawidłowy adres email;Ugyldig e-post 
This field is required;Dit invoerveld is verplicht;Ce champ de saisie est obligatoire;Diese Eingabefeld ist obligatorisch;Det här fältet är obligatoriskt;To pole jest wymagane;Dette feltet er obligatorisk
Copy configuration;Configuratie kopiëren;Copier la configuration;Konfiguration kopieren;Kopiera konfigurationen;Kopiuj konfigurację;Kopier konfigurasjon
Would you like to copy this configuration?;Wilt u de configuratie kopiëren?;Voulez-vous copier cette configuration ?;Wollen Sie diese Konfiguration kopieren?;Vill du kopiera den här konfigurationen?;Czy chcesz skopiować konfigurację?; Vil du kopiere denne konfigurasjonen? 
Copy;Kopieer;Copie;kopieren;Kopiera;Kopiuj;Kopi 
Delete configuration;Verwijder configuratie;Supprimer la configuration;Konfiguration löschen;Radera konfiguration;Usuń konfigurację;Slett konfigurasjon 
Are you sure you want to delete this configuration?;Weet u zeker dat u deze configuratie wilt verwijderen?;Êtes-vous sûr de vouloir supprimer cette configuration ?;Sind Sie sicher, dass Sie diese Konfiguration löschen wollen?;Är du säker på att du vill radera den här konfigurationen?;Czy na pewno chcesz usunąć tę konfigurację?;Er du sikker på at du vil slette denne konfigurasjonen? 
Save configuration code;Bewaar configuratie code;Sauvegarder le code de configuration;Bewahren Sie den Konfigurationscode;Spara konfigurationskod;Zapisz kod konfiguracji;Lagre konfigurasjonskode 
Using this code you can reopen your configuration at anytime, share it with friends or co-workers or send it to a dealer.;Met gebruik van deze code is het mogelijk om jouw configuratie altijd te openen, deel dit met je vrienden of collega's of verstuur de code naar een dealer.;Grâce à ce code, il est possible d'ouvrir votre configuration à tout moment, de la partager avec vos amis ou collègues ou d'envoyer le code à un revendeur.;Mit diesem Code können Sie Ihre Konfiguration jederzeit öffnen. Teilen Sie ihn mit Ihren Freunden und Kollegen oder schicken Sie den Code an einen Händler.;Med den här koden kan du öppna konfigurationen igen när som helst, dela den med vänner eller kollegor eller skicka den till en återförsäljare.;Za pomocą tego kodu możesz w dowolnym momencie ponownie otworzyć konfigurację, udostępnić ją znajomym lub współpracownikom lub wysłać do sprzedawcy.;Med denne koden kan du når som helst åpne konfigurasjonen på nytt, dele den med venner eller kolleger eller sende den til en forhandler.
Copy link;Kopieer link;Copier le lien;Link kopieren;Kopiera länk;Kopiuj link;Kopier kobling 
Language;Taal;Langue;Sprache;Språk;Język;Språk 
Name;Naam;;;;;Navn
Code;Code;;;;;Kode
Reference;Referentie;;;;;Referanse
Price;Prijs;;;;;Pris
Image;Afbeelding;;;;;Bilde
ADD;TOEVOEGEN;AJOUTER;HINZUFÜGEN;;;LEGG TIL
REMOVE;VERWIJDEREN;ÉLIMINER;LÖSCHEN;;;FJERN
This configuration is not possible. Your last change could not be saved.;Deze configuratie is niet mogelijk. Je laatste wijziging kon niet worden opgeslagen.;Cette configuration n'est pas possible. Votre dernière modification n'a pas pu être enregistrée.;Diese Konfiguration ist nicht möglich. Ihre letzte Änderung konnte nicht gespeichert werden.;;;Denne konfigurasjonen er ikke mulig. Den siste endringen kunne ikke lagres.
An error occurred;Er is een fout opgetreden;Une erreur s'est produite;Ein Fehler ist aufgetreten;;;Det oppstod en feil
